Orthogroup	Arabidopsis_thaliana.TAIR10.pep.all	Mus_musculus-Cilia_proteome
OG0008871	AT5G28620.1 pep chromosome_TAIR10_5_10612529_10613004_-1 gene_AT5G28620 transcript_AT5G28620.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Kinase C-like protein [Source_UniProtKB/TrEMBL;Acc_F4K8J9]	
OG0008872	AT1G37113.1 pep chromosome_TAIR10_1_14136413_14138703_1 gene_AT1G37113 transcript_AT1G37113.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; LOCATED IN_ chloroplast; Ha. [Source_TAIR;Acc_AT1G37113]	
OG0008873	AT2G13547.1 pep chromosome_TAIR10_2_5646602_5647423_1 gene_AT2G13547 transcript_AT2G13547.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative uncharacterized protein [Source_UniProtKB/TrEMBL;Acc_Q1G3C7]	
OG0008874	AT2G26230.1 pep chromosome_TAIR10_2_11164575_11167346_1 gene_AT2G26230 transcript_AT2G26230.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uricase [Source_UniProtKB/Swiss-Prot;Acc_O04420]	
OG0008875	AT1G30420.1 pep chromosome_TAIR10_1_10748261_10756695_1 gene_AT1G30420 transcript_AT1G30420.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ABCC11 description_ABC transporter C family member 11 [Source_UniProtKB/Swiss-Prot;Acc_Q9C8H1]	
OG0008876	AT1G30420.2 pep chromosome_TAIR10_1_10748261_10756695_1 gene_AT1G30420 transcript_AT1G30420.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ABCC11 description_ABC transporter C family member 11 [Source_UniProtKB/Swiss-Prot;Acc_Q9C8H1]	
OG0008877	AT3G19035.1 pep chromosome_TAIR10_3_6565949_6566053_1 gene_AT3G19035 transcript_AT3G19035.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Transmembrane protein [Source_UniProtKB/TrEMBL;Acc_B3H5B6]	
OG0008878	AT2G25090.1 pep chromosome_TAIR10_2_10670410_10672892_-1 gene_AT2G25090 transcript_AT2G25090.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_CIPK16 description_Non-specific serine/threonine protein kinase [Source_UniProtKB/TrEMBL;Acc_A0A178W078]	
OG0008879	AT3G60970.1 pep chromosome_TAIR10_3_22557282_22561716_1 gene_AT3G60970 transcript_AT3G60970.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ABCC15 description_Putative ABC transporter C family member 15 [Source_UniProtKB/Swiss-Prot;Acc_Q7FB56]	
OG0008880	AT5G25756.1 pep chromosome_TAIR10_5_8961488_8963150_-1 gene_AT5G25756 transcript_AT5G25756.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008881	AT4G15802.1 pep chromosome_TAIR10_4_8986598_8988661_-1 gene_AT4G15802 transcript_AT4G15802.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_HSBP description_Heat shock factor-binding protein [Source_UniProtKB/Swiss-Prot;Acc_Q8GW48]	
OG0008882	AT5G56090.1 pep chromosome_TAIR10_5_22714471_22716997_1 gene_AT5G56090 transcript_AT5G56090.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_COX15 description_Cytochrome c oxidase assembly protein COX15 [Source_UniProtKB/Swiss-Prot;Acc_Q9FKT8]	
OG0008883	AT5G14560.1 pep chromosome_TAIR10_5_4693964_4694086_1 gene_AT5G14560 transcript_AT5G14560.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At5g14560 [Source_UniProtKB/TrEMBL;Acc_Q9LYK3]	
OG0008884	AT2G07728.1 pep chromosome_TAIR10_2_3453686_3456127_1 gene_AT2G07728 transcript_AT2G07728.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein At2g07728 [Source_UniProtKB/TrEMBL;Acc_Q8S8I9]	
OG0008885	AT5G07960.1 pep chromosome_TAIR10_5_2542246_2543646_1 gene_AT5G07960 transcript_AT5G07960.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Uncharacterized protein At5g07960 [Source_UniProtKB/TrEMBL;Acc_Q0WU11]	
OG0008886	AT1G68945.1 pep chromosome_TAIR10_1_25926849_25927337_1 gene_AT1G68945 transcript_AT1G68945.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g68945 [Source_UniProtKB/TrEMBL;Acc_Q3ECF8]	
OG0008887	AT1G51310.1 pep chromosome_TAIR10_1_19018941_19021808_-1 gene_AT1G51310 transcript_AT1G51310.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_tRNA _5-methylaminomethyl-2-thiouridylate_-methyltransferase [Source_UniProtKB/TrEMBL;Acc_F4I824]	
OG0008888	AT4G20835.1 pep chromosome_TAIR10_4_11155537_11157106_-1 gene_AT4G20835 transcript_AT4G20835.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008889	AT5G35195.1 pep chromosome_TAIR10_5_13449573_13449749_-1 gene_AT5G35195 transcript_AT5G35195.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Defensin-like _DEFL_ family protein [Source_UniProtKB/TrEMBL;Acc_Q2V333]	
OG0008890	AT3G20490.1 pep chromosome_TAIR10_3_7153511_7156536_-1 gene_AT3G20490 transcript_AT3G20490.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Rho GTPase-activating protein [Source_UniProtKB/TrEMBL;Acc_F4JEP8]	
OG0008891	AT1G28135.1 pep chromosome_TAIR10_1_9829261_9829584_1 gene_AT1G28135 transcript_AT1G28135.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g28135 [Source_UniProtKB/TrEMBL;Acc_Q6IDD0]	
OG0008892	AT1G43690.1 pep chromosome_TAIR10_1_16478159_16482859_1 gene_AT1G43690 transcript_AT1G43690.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g43690/F2J6_4 [Source_UniProtKB/TrEMBL;Acc_Q8VYV0]	
OG0008893	AT5G26890.1 pep chromosome_TAIR10_5_9460465_9460716_1 gene_AT5G26890 transcript_AT5G26890.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT5G26890]	
OG0008894	AT4G26100.1 pep chromosome_TAIR10_4_13227450_13230797_-1 gene_AT4G26100 transcript_AT4G26100.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_CKL1 description_CKL1 [Source_UniProtKB/TrEMBL;Acc_A0A178UYM7]	
OG0008895	AT5G05560.1 pep chromosome_TAIR10_5_1641365_1654756_1 gene_AT5G05560 transcript_AT5G05560.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_EMB2771 description_E3 ubiquitin ligase_ putative [Source_TAIR;Acc_AT5G05560]	
OG0008896	AT5G05560.2 pep chromosome_TAIR10_5_1640098_1654830_1 gene_AT5G05560 transcript_AT5G05560.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_EMB2771 description_E3 ubiquitin ligase_ putative [Source_TAIR;Acc_AT5G05560]	
OG0008897	AT2G22942.1 pep chromosome_TAIR10_2_9763740_9764612_-1 gene_AT2G22942 transcript_AT2G22942.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Growth factor [Source_UniProtKB/TrEMBL;Acc_B3H4C2]	
OG0008898	AT4G08960.1 pep chromosome_TAIR10_4_5746271_5748509_1 gene_AT4G08960 transcript_AT4G08960.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Serine/threonine-protein phosphatase 2A activator [Source_UniProtKB/TrEMBL;Acc_Q9C5N3]	
OG0008899	AT5G12380.1 pep chromosome_TAIR10_5_4009168_4010687_1 gene_AT5G12380 transcript_AT5G12380.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ANNAT8 description_Annexin [Source_UniProtKB/TrEMBL;Acc_X5JAK8]	
OG0008900	AT2G33210.1 pep chromosome_TAIR10_2_14074767_14078772_-1 gene_AT2G33210 transcript_AT2G33210.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_HSP60-2 description_Chaperonin CPN60-like 1_ mitochondrial [Source_UniProtKB/Swiss-Prot;Acc_Q8L7B5]	
OG0008901	AT2G33210.2 pep chromosome_TAIR10_2_14074870_14078744_-1 gene_AT2G33210 transcript_AT2G33210.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_HSP60-2 description_Chaperonin CPN60-like 1_ mitochondrial [Source_UniProtKB/Swiss-Prot;Acc_Q8L7B5]	
OG0008902	AT4G05420.2 pep chromosome_TAIR10_4_2746122_2752896_1 gene_AT4G05420 transcript_AT4G05420.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_DDB1A description_DDB1A [Source_UniProtKB/TrEMBL;Acc_A0A178UYD4]	
OG0008903	AT3G58160.4 pep chromosome_TAIR10_3_21534265_21542114_1 gene_AT3G58160 transcript_AT3G58160.4 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_XI-J description_Myosin-16 [Source_UniProtKB/Swiss-Prot;Acc_Q9M2K0]	
OG0008904	AT3G58160.2 pep chromosome_TAIR10_3_21534064_21542127_1 gene_AT3G58160 transcript_AT3G58160.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_XI-J description_Myosin-16 [Source_UniProtKB/Swiss-Prot;Acc_Q9M2K0]	
OG0008905	AT3G58160.3 pep chromosome_TAIR10_3_21534064_21542127_1 gene_AT3G58160 transcript_AT3G58160.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_XI-J description_Myosin-16 [Source_UniProtKB/Swiss-Prot;Acc_Q9M2K0]	
OG0008906	AT3G58160.1 pep chromosome_TAIR10_3_21534225_21542125_1 gene_AT3G58160 transcript_AT3G58160.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_XI-J description_Myosin-16 [Source_UniProtKB/Swiss-Prot;Acc_Q9M2K0]	
OG0008907	AT3G58160.5 pep chromosome_TAIR10_3_21534797_21542082_1 gene_AT3G58160 transcript_AT3G58160.5 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_XI-J description_Myosin-16 [Source_UniProtKB/Swiss-Prot;Acc_Q9M2K0]	
OG0008908	AT4G27330.1 pep chromosome_TAIR10_4_13682078_13683594_-1 gene_AT4G27330 transcript_AT4G27330.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SPL description_Protein SPOROCYTELESS [Source_UniProtKB/Swiss-Prot;Acc_O81836]	
OG0008909	AT3G47850.1 pep chromosome_TAIR10_3_17654129_17656013_-1 gene_AT3G47850 transcript_AT3G47850.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_tRNA _Ile_-lysidine synthase [Source_UniProtKB/TrEMBL;Acc_F4JCQ8]	
OG0008910	AT1G61000.1 pep chromosome_TAIR10_1_22470828_22474187_-1 gene_AT1G61000 transcript_AT1G61000.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_NUF2 description_Kinetochore protein NUF2 homolog [Source_UniProtKB/Swiss-Prot;Acc_Q8RXJ0]	
OG0008911	AT5G08280.1 pep chromosome_TAIR10_5_2663499_2665826_-1 gene_AT5G08280 transcript_AT5G08280.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_HEMC description_Porphobilinogen deaminase_ chloroplastic [Source_UniProtKB/Swiss-Prot;Acc_Q43316]	
OG0008912	AT2G25215.1 pep chromosome_TAIR10_2_10741671_10742161_-1 gene_AT2G25215 transcript_AT2G25215.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008913	AT4G15650.1 pep chromosome_TAIR10_4_8922389_8923941_1 gene_AT4G15650 transcript_AT4G15650.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; FUNCTIONS IN_ molecular_function unknown; INVOLVED IN_ N-terminal protein myristoylation; LOCATED IN_ cellular_component unknown; EXPRESSED IN_ male gametophyte_ flower_ pollen tube; EXPRESSED DURING_ L mature pollen stage_ M germin /.../ollen stage_ 4 anthesis; Ha. [Source_TAIR;Acc_AT4G15650]	
OG0008914	AT1G24180.1 pep chromosome_TAIR10_1_8560420_8563502_-1 gene_AT1G24180 transcript_AT1G24180.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_IAR4 description_Pyruvate dehydrogenase E1 component subunit alpha-2_ mitochondrial [Source_UniProtKB/Swiss-Prot;Acc_Q8H1Y0]	
OG0008915	AT1G02540.1 pep chromosome_TAIR10_1_534827_535699_-1 gene_AT1G02540 transcript_AT1G02540.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_T14P4.13 protein [Source_UniProtKB/TrEMBL;Acc_Q9FWX9]	
OG0008916	AT1G62333.1 pep chromosome_TAIR10_1_23050381_23050940_1 gene_AT1G62333 transcript_AT1G62333.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_F24O1.6 [Source_UniProtKB/TrEMBL;Acc_Q9MAV4]	
OG0008917	AT5G49660.1 pep chromosome_TAIR10_5_20161140_20164729_-1 gene_AT5G49660 transcript_AT5G49660.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_CEPR1 description_Receptor protein-tyrosine kinase CEPR1 [Source_UniProtKB/Swiss-Prot;Acc_Q9FGL5]	
OG0008918	AT4G00900.1 pep chromosome_TAIR10_4_382663_386850_-1 gene_AT4G00900 transcript_AT4G00900.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ECA2 description_Calcium-transporting ATPase 2_ endoplasmic reticulum-type [Source_UniProtKB/Swiss-Prot;Acc_O23087]	
OG0008919	AT4G00900.2 pep chromosome_TAIR10_4_382663_386479_-1 gene_AT4G00900 transcript_AT4G00900.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ECA2 description_Calcium-transporting ATPase 2_ endoplasmic reticulum-type [Source_UniProtKB/Swiss-Prot;Acc_O23087]	
OG0008920	AT3G42995.1 pep chromosome_TAIR10_3_15051658_15051935_1 gene_AT3G42995 transcript_AT3G42995.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Transmembrane protein [Source_UniProtKB/TrEMBL;Acc_A0A1I9LQW5]	
OG0008921	AT2G41355.1 pep chromosome_TAIR10_2_17233540_17233966_-1 gene_AT2G41355 transcript_AT2G41355.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008922	AT2G01913.1 pep chromosome_TAIR10_2_421608_422643_-1 gene_AT2G01913 transcript_AT2G01913.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At2g01913 [Source_UniProtKB/TrEMBL;Acc_Q1G3S9]	
OG0008923	AT1G55755.1 pep chromosome_TAIR10_1_20846115_20847732_1 gene_AT1G55755 transcript_AT1G55755.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008924	AT4G25120.1 pep chromosome_TAIR10_4_12890545_12898501_1 gene_AT4G25120 transcript_AT4G25120.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SRS2 description_ATP-dependent DNA helicase SRS2-like protein At4g25120 [Source_UniProtKB/Swiss-Prot;Acc_D1KF50]	
OG0008925	AT2G07613.1 pep chromosome_TAIR10_2_3261009_3261453_1 gene_AT2G07613 transcript_AT2G07613.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008926	AT2G26890.1 pep chromosome_TAIR10_2_11462067_11474371_-1 gene_AT2G26890 transcript_AT2G26890.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRV2 description_DnaJ homolog subfamily C GRV2 [Source_UniProtKB/Swiss-Prot;Acc_F4IVL6]	
OG0008927	AT5G52820.1 pep chromosome_TAIR10_5_21401312_21404470_1 gene_AT5G52820 transcript_AT5G52820.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_NLE1 description_NLE [Source_UniProtKB/TrEMBL;Acc_A0A178UNZ3]	
OG0008928	AT3G21300.1 pep chromosome_TAIR10_3_7492739_7496371_-1 gene_AT3G21300 transcript_AT3G21300.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_RNA methyltransferase family protein [Source_UniProtKB/TrEMBL;Acc_Q9LU28]	
OG0008929	AT5G64270.1 pep chromosome_TAIR10_5_25706608_25711355_1 gene_AT5G64270 transcript_AT5G64270.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Nuclear protein-like [Source_UniProtKB/TrEMBL;Acc_Q9FMF9]	
OG0008930	AT3G19508.1 pep chromosome_TAIR10_3_6762034_6762754_-1 gene_AT3G19508 transcript_AT3G19508.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_LYR motif-containing protein At3g19508 [Source_UniProtKB/Swiss-Prot;Acc_Q1G3M2]	
OG0008931	AT5G06430.1 pep chromosome_TAIR10_5_1963072_1964467_-1 gene_AT5G06430 transcript_AT5G06430.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At5g06430 [Source_UniProtKB/TrEMBL;Acc_Q9FNG5]	
OG0008932	AT2G03120.1 pep chromosome_TAIR10_2_937383_940551_1 gene_AT2G03120 transcript_AT2G03120.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SPP description_Signal peptide peptidase [Source_UniProtKB/Swiss-Prot;Acc_O81062]	
OG0008933	AT2G42590.3 pep chromosome_TAIR10_2_17731855_17733967_-1 gene_AT2G42590 transcript_AT2G42590.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF9 description_General regulatory factor 9 [Source_UniProtKB/TrEMBL;Acc_F4IP55]	
OG0008934	AT2G42590.1 pep chromosome_TAIR10_2_17731830_17733982_-1 gene_AT2G42590 transcript_AT2G42590.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF9 description_General regulatory factor 9 [Source_UniProtKB/TrEMBL;Acc_F4IP55]	
OG0008935	AT2G42590.2 pep chromosome_TAIR10_2_17731855_17733967_-1 gene_AT2G42590 transcript_AT2G42590.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF9 description_General regulatory factor 9 [Source_UniProtKB/TrEMBL;Acc_F4IP55]	
OG0008936	AT3G07560.1 pep chromosome_TAIR10_3_2411321_2413587_-1 gene_AT3G07560 transcript_AT3G07560.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_PEX13 description_Peroxisomal membrane protein 13 [Source_UniProtKB/Swiss-Prot;Acc_Q9SRR0]	
OG0008937	AT5G09920.1 pep chromosome_TAIR10_5_3096183_3097837_1 gene_AT5G09920 transcript_AT5G09920.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_NRPB4 description_RPB15.9.9 [Source_UniProtKB/TrEMBL;Acc_A0A178UIQ5]	
OG0008938	AT5G44140.1 pep chromosome_TAIR10_5_17762491_17763666_1 gene_AT5G44140 transcript_AT5G44140.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_PHB7 description_Prohibitin-7_ mitochondrial [Source_UniProtKB/Swiss-Prot;Acc_Q9FFH5]	
OG0008939	AT3G59840.1 pep chromosome_TAIR10_3_22105522_22106242_-1 gene_AT3G59840 transcript_AT3G59840.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Allyl alcohol dehydrogenase-like protein [Source_UniProtKB/TrEMBL;Acc_Q8VZ93]	
OG0008940	AT3G02520.2 pep chromosome_TAIR10_3_526293_528388_-1 gene_AT3G02520 transcript_AT3G02520.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF7 description_14-3-3-like protein GF14 nu [Source_UniProtKB/Swiss-Prot;Acc_Q96300]	
OG0008941	AT3G02520.1 pep chromosome_TAIR10_3_526293_528388_-1 gene_AT3G02520 transcript_AT3G02520.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF7 description_14-3-3-like protein GF14 nu [Source_UniProtKB/Swiss-Prot;Acc_Q96300]	
OG0008942	AT1G11684.1 pep chromosome_TAIR10_1_3941103_3941459_-1 gene_AT1G11684 transcript_AT1G11684.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT1G11684]	
OG0008943	AT5G65495.1 pep chromosome_TAIR10_5_26180421_26181069_1 gene_AT5G65495 transcript_AT5G65495.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SKIP34 description_Protein SKIP34 [Source_UniProtKB/Swiss-Prot;Acc_Q8GWU7]	
OG0008944	AT5G17840.1 pep chromosome_TAIR10_5_5895653_5897291_-1 gene_AT5G17840 transcript_AT5G17840.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_DnaJ/Hsp40 cysteine-rich domain superfamily protein [Source_UniProtKB/TrEMBL;Acc_Q93ZT2]	
OG0008945	AT2G42620.1 pep chromosome_TAIR10_2_17756069_17758468_1 gene_AT2G42620 transcript_AT2G42620.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_MAX2 description_F-box protein MAX2 [Source_UniProtKB/Swiss-Prot;Acc_Q9SIM9]	
OG0008946	AT5G51340.1 pep chromosome_TAIR10_5_20862902_20867465_1 gene_AT5G51340 transcript_AT5G51340.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_SCC4 description_Sister chromatid cohesion protein SCC4 [Source_UniProtKB/Swiss-Prot;Acc_Q9FGN7]	
OG0008947	AT5G67640.1 pep chromosome_TAIR10_5_26969516_26970668_-1 gene_AT5G67640 transcript_AT5G67640.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative uncharacterized protein [Source_UniProtKB/TrEMBL;Acc_Q9FJV9]	
OG0008948	AT3G48170.1 pep chromosome_TAIR10_3_17785854_17790026_-1 gene_AT3G48170 transcript_AT3G48170.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ALDH10A9 description_Betaine aldehyde dehydrogenase 2_ mitochondrial [Source_UniProtKB/Swiss-Prot;Acc_Q9STS1]	
OG0008949	AT2G40660.1 pep chromosome_TAIR10_2_16965909_16969119_1 gene_AT2G40660 transcript_AT2G40660.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Nucleic acid-binding_ OB-fold-like protein [Source_UniProtKB/TrEMBL;Acc_Q93VB0]	
OG0008950	AT3G14910.1 pep chromosome_TAIR10_3_5015411_5017861_1 gene_AT3G14910 transcript_AT3G14910.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At3g14910 [Source_UniProtKB/TrEMBL;Acc_Q9LKB3]	
OG0008951	AT2G22370.1 pep chromosome_TAIR10_2_9500784_9502210_-1 gene_AT2G22370 transcript_AT2G22370.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_MED18 description_MED18 [Source_UniProtKB/TrEMBL;Acc_A0A178VRQ8]	
OG0008952	AT1G49245.1 pep chromosome_TAIR10_1_18218341_18219269_1 gene_AT1G49245 transcript_AT1G49245.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At1g49245 [Source_UniProtKB/TrEMBL;Acc_Q8LD83]	
OG0008953	AT5G35698.1 pep chromosome_TAIR10_5_13871715_13871948_1 gene_AT5G35698 transcript_AT5G35698.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Plant thionin family protein [Source_UniProtKB/TrEMBL;Acc_A8MQJ3]	
OG0008954	AT1G56555.1 pep chromosome_TAIR10_1_21191121_21192217_-1 gene_AT1G56555 transcript_AT1G56555.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT1G56555]	
OG0008955	ATCG00740.1 pep chromosome_TAIR10_Pt_77901_78890_-1 gene_ATCG00740 transcript_ATCG00740.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPOA description_DNA-directed RNA polymerase subunit alpha [Source_UniProtKB/Swiss-Prot;Acc_P56762]	
OG0008956	AT3G07640.1 pep chromosome_TAIR10_3_2438015_2439938_1 gene_AT3G07640 transcript_AT3G07640.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At3g07640 [Source_UniProtKB/TrEMBL;Acc_Q8L8V4]	
OG0008957	AT5G65430.2 pep chromosome_TAIR10_5_26148201_26150342_-1 gene_AT5G65430 transcript_AT5G65430.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF8 description_General regulatory factor 8 [Source_UniProtKB/TrEMBL;Acc_F4KHY7]	
OG0008958	AT5G65430.3 pep chromosome_TAIR10_5_26148382_26150476_-1 gene_AT5G65430 transcript_AT5G65430.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF8 description_General regulatory factor 8 [Source_UniProtKB/TrEMBL;Acc_F4KHY7]	
OG0008959	AT5G65430.1 pep chromosome_TAIR10_5_26148150_26150593_-1 gene_AT5G65430 transcript_AT5G65430.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GRF8 description_General regulatory factor 8 [Source_UniProtKB/TrEMBL;Acc_F4KHY7]	
OG0008960	AT1G02780.1 pep chromosome_TAIR10_1_607799_609534_-1 gene_AT1G02780 transcript_AT1G02780.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPL19A description_60S ribosomal protein L19-1 [Source_UniProtKB/Swiss-Prot;Acc_Q9SRX2]	
OG0008961	AT1G19340.1 pep chromosome_TAIR10_1_6684467_6687116_1 gene_AT1G19340 transcript_AT1G19340.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Methyltransferase-like protein 2 [Source_UniProtKB/Swiss-Prot;Acc_Q8LFA9]	
OG0008962	AT1G20430.1 pep chromosome_TAIR10_1_7083012_7083910_-1 gene_AT1G20430 transcript_AT1G20430.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative uncharacterized protein [Source_UniProtKB/TrEMBL;Acc_Q94B54]	
OG0008963	AT2G12880.1 pep chromosome_TAIR10_2_5291523_5291882_1 gene_AT2G12880 transcript_AT2G12880.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Putative CCHC-type zinc finger protein [Source_UniProtKB/TrEMBL;Acc_Q9SKG2]	
OG0008964	AT3G48475.1 pep chromosome_TAIR10_3_17954727_17956096_-1 gene_AT3G48475 transcript_AT3G48475.1 gene_biotype_protein_coding transcript_biotype_protein_coding	
OG0008965	AT1G75200.1 pep chromosome_TAIR10_1_28220626_28223785_-1 gene_AT1G75200 transcript_AT1G75200.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_TYW1 description_S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase [Source_UniProtKB/Swiss-Prot;Acc_Q8RXN5]	
OG0008966	AT5G44150.1 pep chromosome_TAIR10_5_17763631_17765428_-1 gene_AT5G44150 transcript_AT5G44150.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; FUNCTIONS IN_ molecular_function unknown; INVOLVED IN_ biological_process unknown; LOCATED IN_ chloroplast; EXPRESSED IN_ 18 plant structures; EXPRESSED DURING_ 13 growth stages; Ha. [Source_TAIR;Acc_AT5G44150]	
OG0008967	AT2G20515.1 pep chromosome_TAIR10_2_8838750_8839857_-1 gene_AT2G20515 transcript_AT2G20515.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_At2g20515 [Source_UniProtKB/TrEMBL;Acc_Q8S8D0]	
OG0008968	AT5G14600.1 pep chromosome_TAIR10_5_4706891_4709163_1 gene_AT5G14600 transcript_AT5G14600.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_tRNA _adenine_58_-N_1__-methyltransferase [Source_UniProtKB/TrEMBL;Acc_Q84K50]	
OG0008969	AT4G04423.1 pep chromosome_TAIR10_4_2203424_2204362_1 gene_AT4G04423 transcript_AT4G04423.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_unknown protein; Ha. [Source_TAIR;Acc_AT4G04423]	
